#Supplementary Table 2 Summary of protein targets measured using the Olink Explore HT platform,,,,,,,,,,,,,,,,,,,,,,,,,,,
#sd - standard deviation; cv - coefficient of variation; p.dip - p-value of a dip test for multi-modal distribution: cis.pQTL - whehter or not a cis-pQTL was identified; med.pred = median (and 25th and 75th percentil) value of predicted correlation coefficient across all protein groups measued; Seer ID - best correlating Seer protein group; spear.seer = associated Spearman correlation coefficient; SomaLogic ID = best correlating aptamer ID; spear.soma = associated Spearman correlation coefficient
#
Olink ID,OlinkID_vendor,Assay,UniProt,Block,missing.per.olink,below.lod.per.olink,cv.olink,mean.cv.olink,sd.cv.olink,n.olink,mean.l2.olink,sd.l2.olink,median.l2.olink,min.l2.olink,max.l2.olink,faction.outlier.olink,p.dip.olink,cis.pQTL.olink,cis.pav.olink,med.pred,p25.pred,p75.pred,Seer ID,spear.seer,SomaLogic ID,spear.soma,correlation.cluster
ACOT13_43318,OID43318,ACOT13,Q9NPJ3,4,0.00,56.23,40.76,3.39,0.62,22.00,4.19,0.95,4.18,0.43,9.31,0.00,1.00,FALSE,FALSE,0.54,0.54,0.55,prot.5614,,seq.17675.17,0.62,
ACOX1_44436,OID44436,ACOX1,Q15067,5,0.07,59.82,17.63,-0.06,0.26,22.00,0.06,0.62,0.02,-1.94,6.57,0.00,0.91,FALSE,FALSE,0.24,0.24,0.25,prot.3587,0.23,seq.21552.9,0.25,
ACP1_43319,OID43319,ACP1,P24666,4,0.00,25.12,28.11,-0.03,0.36,22.00,-0.18,0.69,-0.26,-1.95,4.13,0.02,1.00,TRUE,FALSE,0.32,0.30,0.32,prot.2336,0.39,seq.3858.5,0.00,
ACP3_42084,OID42084,ACP3,P15309,3,0.00,23.10,9.77,0.36,0.14,22.00,0.19,0.58,0.19,-4.36,4.69,0.00,0.99,TRUE,FALSE,0.43,0.43,0.44,prot.6523,0.39,seq.19317.114,0.16,
ACP5_45022,OID45022,ACP5,P13686,6,1.11,5.77,11.28,0.40,0.16,21.00,0.91,0.42,0.90,-0.60,2.40,0.00,0.99,TRUE,TRUE,0.65,0.65,0.66,prot.2077,0.71,seq.3232.28,0.76,
ACP6_43320,OID43320,ACP6,Q9NPH0,4,0.00,22.62,8.77,1.06,0.13,22.00,0.39,0.59,0.44,-3.58,2.12,0.00,0.99,TRUE,FALSE,0.62,0.61,0.63,prot.5610,0.26,seq.5742.14,0.84,
ACRBP_43321,OID43321,ACRBP,Q8NEB7,4,0.00,75.30,27.67,0.48,0.47,22.00,0.37,0.48,0.39,-1.66,2.74,0.00,0.43,FALSE,FALSE,0.10,0.10,0.10,,,seq.29363.25,0.03,
ACRV1_43322,OID43322,ACRV1,P26436,4,0.00,53.03,25.45,6.38,0.52,22.00,0.33,1.17,-0.02,-1.38,6.95,0.03,1.00,FALSE,FALSE,0.09,0.08,0.09,,,seq.15301.24,0.01,
ACSL1_42085,OID42085,ACSL1,P33121,3,0.00,68.68,57.11,-0.45,1.76,22.00,-0.66,2.19,-0.54,-7.82,7.27,0.04,0.15,FALSE,FALSE,0.03,0.03,0.03,prot.2496,0.02,,,
ACSM1_40763,OID40763,ACSM1,Q08AH1,2,0.14,60.70,37.33,0.60,0.52,22.00,0.10,1.57,-0.05,-8.22,8.45,0.00,0.98,FALSE,FALSE,0.05,0.04,0.05,,,seq.34545.4,0.00,
